"Rec No","Id","Date","Time","Comments"
306,305,78096,4441719,"TDCC 309 B/L Export - Customs                                                   "
307,306,78096,4480575,"TDCC 309 B/L Export - Customs                                                   "
308,307,78102,3780337,"TDCC 309 B/L Export - Customs                                                   "
309,308,78102,3803340,"TDCC 309 B/L Export - Customs                                                   "
310,309,78102,3844938,"TDCC 309 B/L Export - Customs                                                   "
311,310,78102,3849330,"TDCC 309 B/L Export - Customs                                                   "
312,311,78107,4681135,"TDCC 309 B/L Export - Customs                                                   "
313,312,78107,4770823,"TDCC 309 B/L Export - Customs                                                   "
314,313,78109,3197821,"TDCC 309 B/L Export - Customs                                                   "
315,314,78110,4595431,"TDCC 309 B/L Export - Customs                                                   "
316,315,78114,4883028,"TDCC 309 B/L Export - Customs                                                   "
317,316,78114,5195374,"TDCC 309 B/L Export - Customs                                                   "
318,317,78114,5289620,"TDCC 309 B/L Export - Customs                                                   "
319,318,78117,3403740,"TDCC 309 B/L Export - Customs                                                   "
320,319,78117,3458984,"TDCC 309 B/L Export - Customs                                                   "
321,320,78117,3537100,"TDCC 309 B/L Export - Customs                                                   "
322,321,78117,3739133,"TDCC 309 B/L Export - Customs                                                   "
323,322,78117,3773377,"TDCC 309 B/L Export - Customs                                                   "
324,323,78117,3807358,"TDCC 309 B/L Export - Customs                                                   "
325,324,78117,3856693,"TDCC 309 B/L Export - Customs                                                   "
326,325,78117,3868503,"TDCC 309 B/L Export - Customs                                                   "
327,326,78117,3900746,"TDCC 309 B/L Export - Customs                                                   "
328,327,78117,3936266,"TDCC 309 B/L Export - Customs                                                   "
329,328,78121,4684003,"TDCC 309 B/L Export - Customs                                                   "
330,329,78123,3445771,"TDCC 309 B/L Export - Customs                                                   "
331,330,78123,3867801,"TDCC 309 B/L Export - Customs                                                   "
332,331,78123,3992494,"TDCC 309 B/L Export - Customs                                                   "
333,332,78124,3466459,"TDCC 309 B/L Export - Customs                                                   "
334,333,78124,4258876,"TDCC 309 B/L Export - Customs                                                   "
335,334,78124,4856681,"TDCC 309 B/L Export - Customs                                                   "
336,335,78128,4466322,"TDCC 309 B/L Export - Customs                                                   "
337,336,78128,4511907,"TDCC 309 B/L Export - Customs                                                   "
338,337,78128,4569436,"TDCC 309 B/L Export - Customs                                                   "
339,338,78128,4788102,"TDCC 309 B/L Export - Customs                                                   "
340,339,78128,5508264,"TDCC 309 B/L Export - Customs                                                   "
341,340,78130,4255853,"TDCC 309 B/L Export - Customs                                                   "
342,341,78130,4334359,"TDCC 309 B/L Export - Customs                                                   "
343,342,78130,4399639,"TDCC 309 B/L Export - Customs                                                   "
344,343,78130,4976596,"TDCC 309 B/L Export - Customs                                                   "
345,344,78130,5025443,"TDCC 309 B/L Export - Customs                                                   "
346,345,78130,5071575,"TDCC 309 B/L Export - Customs                                                   "
347,346,78135,3580945,"TDCC 309 B/L Export - Customs                                                   "
348,347,78135,3599766,"TDCC 309 B/L Export - Customs                                                   "
349,348,78135,3649504,"TDCC 309 B/L Export - Customs                                                   "
350,349,78135,3780634,"TDCC 309 B/L Export - Customs                                                   "
351,350,78135,4086846,"TDCC 309 B/L Export - Customs                                                   "
352,351,78135,5125658,"TDCC 309 B/L Export - Customs                                                   "
353,352,78135,5238870,"TDCC 309 B/L Export - Customs                                                   "
354,353,78135,5279054,"TDCC 309 B/L Export - Customs                                                   "
355,354,78140,3106890,"TDCC 309 B/L Export - Customs                                                   "
356,355,78140,3166628,"TDCC 309 B/L Export - Customs                                                   "
357,356,78142,4787098,"TDCC 309 B/L Export - Customs                                                   "
358,357,78142,4956014,"TDCC 309 B/L Export - Customs                                                   "
359,358,78142,5394801,"TDCC 309 B/L Export - Customs                                                   "
360,359,78142,5806404,"TDCC 309 B/L Export - Customs                                                   "
361,360,78144,5607762,"TDCC 309 B/L Export - Customs                                                   "
362,361,78145,3233034,"TDCC 309 B/L Export - Customs                                                   "
363,362,78149,4843695,"TDCC 309 B/L Export - Customs                                                   "
364,363,78149,4887602,"TDCC 309 B/L Export - Customs                                                   "
365,364,78149,4925633,"TDCC 309 B/L Export - Customs                                                   "
366,365,78151,5276150,"TDCC 309 B/L Export - Customs                                                   "
367,366,78151,5305719,"TDCC 309 B/L Export - Customs                                                   "
368,367,78151,5356459,"TDCC 309 B/L Export - Customs                                                   "
369,368,78151,5394809,"TDCC 309 B/L Export - Customs                                                   "
370,369,78151,5494466,"TDCC 309 B/L Export - Customs                                                   "
371,370,78151,5591429,"TDCC 309 B/L Export - Customs                                                   "
372,371,78151,5625819,"TDCC 309 B/L Export - Customs                                                   "
373,372,78151,5676027,"TDCC 309 B/L Export - Customs                                                   "
374,373,78151,5704707,"TDCC 309 B/L Export - Customs                                                   "
375,374,78156,5430394,"TDCC 309 B/L Export - Customs                                                   "
376,375,78158,3132761,"TDCC 309 B/L Export - Customs                                                   "
377,376,78158,4131877,"TDCC 309 B/L Export - Customs                                                   "
378,377,78158,4193454,"TDCC 309 B/L Export - Customs                                                   "
379,378,78158,4219119,"TDCC 309 B/L Export - Customs                                                   "
380,379,78158,4263364,"TDCC 309 B/L Export - Customs                                                   "
381,380,78158,4301800,"TDCC 309 B/L Export - Customs                                                   "
382,381,78158,4376154,"TDCC 309 B/L Export - Customs                                                   "
383,382,78165,3237338,"TDCC 309 B/L Export - Customs                                                   "
384,383,78165,5284464,"TDCC 309 B/L Export - Customs                                                   "
385,384,78170,4202431,"TDCC 309 B/L Export - Customs                                                   "
386,385,78172,4388203,"TDCC 309 B/L Export - Customs                                                   "
387,386,78172,4989258,"TDCC 309 B/L Export - Customs                                                   "
388,387,78172,5030058,"TDCC 309 B/L Export - Customs                                                   "
389,388,78172,5242529,"TDCC 309 B/L Export - Customs                                                   "
390,389,78177,3266874,"TDCC 309 B/L Export - Customs                                                   "
391,390,78177,5422736,"TDCC 309 B/L Export - Customs                                                   "
392,391,78180,2864072,"TDCC 309 B/L Export - Customs                                                   "
393,392,78184,4765132,"TDCC 309 B/L Export - Customs                                                   "
394,393,78186,4161211,"TDCC 309 B/L Export - Customs                                                   "
395,394,78193,3701325,"TDCC 309 B/L Export - Customs                                                   "
396,395,78198,4200507,"TDCC 309 B/L Export - Customs                                                   "
397,396,78198,5170170,"TDCC 309 B/L Export - Customs                                                   "
398,397,78198,5250283,"TDCC 309 B/L Export - Customs                                                   "
399,398,78205,3929571,"TDCC 309 B/L Export - Customs                                                   "
400,399,78212,3811179,"TDCC 309 B/L Export - Customs                                                   "
401,400,78215,3502584,"TDCC 309 B/L Export - Customs                                                   "
402,401,78215,3544196,"TDCC 309 B/L Export - Customs                                                   "
403,402,78215,3555052,"TDCC 309 B/L Export - Customs                                                   "
404,403,78215,3814882,"TDCC 309 B/L Export - Customs                                                   "
405,404,78219,3750080,"TDCC 309 B/L Export - Customs                                                   "
406,405,78221,4522457,"TDCC 309 B/L Export - Customs                                                   "
407,406,78221,5281558,"TDCC 309 B/L Export - Customs                                                   "
